segment_id,region_id,province,region,event_id,event_start,event_end,event_cause,segment_length_meters,road_name,highway,osm_way_ids,u,v,key,oneway,buffer_radius_meters,minimum_clear_fraction,positive_exposure_fraction,source_resolution_class,corridor_area_square_meters,source_coverage_fraction,valid_observation_fraction,permanent_water_fraction,flood_exposure_fraction,flood_exposed_length_equivalent_meters,label,confidence,exclusion_reason
osm-gaul2-73705-10279663395-10279663399-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,25.988,Unnamed OSM road,secondary_link,1124082803,10279663395,10279663399,0,False,250,0.75,0.05,coarse-modis-250m,208844.291,0.922635,0.922635,0.0,0.0,0.0,negative,moderate,
osm-gaul2-73705-10279663395-6134415254-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,138.818,Jalan Banda Aceh-Medan,trunk,301841263,10279663395,6134415254,0,True,250,0.75,0.05,coarse-modis-250m,265525.247,0.912323,0.912323,0.0,0.0,0.0,negative,moderate,
osm-gaul2-73705-10279663399-10279663395-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,25.988,Unnamed OSM road,secondary_link,1124082803,10279663399,10279663395,0,False,250,0.75,0.05,coarse-modis-250m,208844.291,0.922635,0.922635,0.0,0.0,0.0,negative,moderate,
osm-gaul2-73705-10279663399-3060893232-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,2426.456,Jalan Rel Kereta Api,secondary,301927300,10279663399,3060893232,0,False,250,0.75,0.05,coarse-modis-250m,1409795.531,0.979004,0.979004,0.0,0.0,0.0,negative,moderate,
osm-gaul2-73705-10279663399-3060899458-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,43.256,Jalan Rel Kereta Api,secondary,301927300,10279663399,3060899458,0,False,250,0.75,0.05,coarse-modis-250m,217719.933,0.89286,0.89286,0.0,0.0,0.0,negative,moderate,
osm-gaul2-73705-10558528610-3149496214-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,25.649,Unnamed OSM road,secondary,1132346417,10558528610,3149496214,0,True,250,0.75,0.05,coarse-modis-250m,208910.491,0.888495,0.609714,0.27878,0.0,0.0,unknown,excluded,insufficient_clear_observation
osm-gaul2-73705-10972386529-6604072750-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,24.629,Unnamed OSM road,tertiary_link,703424022,10972386529,6604072750,0,True,250,0.75,0.05,coarse-modis-250m,208400.221,0.888814,0.023258,0.865556,0.0,0.0,unknown,excluded,insufficient_clear_observation
osm-gaul2-73705-10972386529-6605827643-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,7.179,Unnamed OSM road,tertiary_link,1181519465,10972386529,6605827643,0,False,250,0.75,0.05,coarse-modis-250m,199670.135,0.883787,0.018449,0.865338,0.0,0.0,unknown,excluded,insufficient_clear_observation
osm-gaul2-73705-11285257715-3060906959-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,16.935,Unnamed OSM road,secondary,1217925342,11285257715,3060906959,0,False,250,0.75,0.05,coarse-modis-250m,204551.201,0.886452,0.886452,0.0,0.0,0.0,negative,moderate,
osm-gaul2-73705-11285257715-3107886787-0,gaul2-73705,Nangroe Aceh Darussalam,Kota Bandaaceh,DFO_2106_From_20021215_to_20021220,2002-12-15,2002-12-20,Heavy rain,846.729,Jalan Soekarno-Hatta,trunk,43324105,11285257715,3107886787,0,True,250,0.75,0.05,coarse-modis-250m,619697.921,0.959215,0.959215,0.0,0.0,0.0,negative,moderate,
